BASE_DATE,ADM_CD,ADM_NM
"20220630","22060650",파동
"20220630","22060660",두산동
"20220630","22060670",지산1동
"20220630","22060680",지산2동
"20220630","22060690",범물1동
"20220630","22060700",범물2동
"20220630","22060710",고산1동
"20220630","22060720",고산2동
"20220630","22060730",고산3동
"20220630","22070550",두류3동
"20220630","22070560",본리동
"20220630","22070570",감삼동
"20220630","22070580",죽전동
"20220630","22070590",장기동
"20220630","22070600",이곡1동
"20220630","22070610",신당동
"20220630","22070630",월성2동
"20220630","22070650",상인1동
"20220630","22070660",상인2동
"20220630","22070670",상인3동
"20220630","22070680",도원동
"20220630","22070690",송현1동
"20220630","22070700",송현2동
"20220630","22070710",본동
"20220630","22070720",용산1동
"20220630","22070730",용산2동
"20220630","22070740",이곡2동
"20220630","22070750",성당동
"20220630","22070760",두류1·2동
"20220630","22070770",월성1동
"20220630","22070780",진천동
"20220630","22070790",유천동
"20220630","22510110",화원읍
"20220630","22510120",논공읍
"20220630","22510130",다사읍
"20220630","22510140",유가읍
"20220630","22510150",옥포읍
"20220630","22510160",현풍읍
"20220630","22510310",가창면
"20220630","22510320",하빈면
"20220630","22510360",구지면
"20220630","23010520",연안동
"20220630","23010530",신포동
"20220630","23010540",신흥동
"20220630","23010560",도원동
"20220630","23010570",율목동
"20220630","23010580",동인천동
"20220630","23010630",용유동
"20220630","23010640",운서동
"20220630","23010650",영종동
"20220630","23010660",영종1동
"20220630","23010670",개항동
"20220630","23020510",만석동
"20220630","23020520",화수1·화평동
"20220630","23020530",화수2동
"20220630","23020550",송현1·2동
"20220630","23020570",송현3동
"20220630","23020580",송림1동
"20220630","23020590",송림2동
"20220630","23020600",송림3·5동
"20220630","23020610",송림4동
"20220630","23020630",송림6동
"20220630","23020640",금창동
"20220630","23040510",옥련1동
"20220630","23040520",선학동
"20220630","23040530",연수1동
"20220630","23040540",연수2동
"20220630","23040550",연수3동
"20220630","23040560",청학동
"20220630","23040570",동춘1동
"20220630","23040580",동춘2동
"20220630","23040590",동춘3동
"20220630","23040600",옥련2동
"20220630","23040640",송도1동
"20220630","23040650",송도3동
"20220630","23040660",송도2동
"20220630","23040680",송도4동
"20220630","23040690",송도5동
"20220630","23050510",구월1동
"20220630","23050520",구월2동
"20220630","23050530",구월3동
"20220630","23050540",구월4동
"20220630","23050550",간석1동
"20220630","23050560",간석2동
"20220630","23050570",간석3동
"20220630","23050580",간석4동
"20220630","23050590",만수1동
"20220630","23050600",만수2동
"20220630","23050610",만수3동
"20220630","23050620",만수4동
"20220630","23050630",만수5동
"20220630","23050640",만수6동
"20220630","23050670",남촌도림동
"20220630","23050720",논현1동
"20220630","23050730",논현2동
"20220630","23050740",논현고잔동
"20220630","23050750",장수서창동
"20220630","23050760",서창2동
"20220630","23060510",부평1동
"20220630","23060520",부평2동
"20220630","23060530",부평3동
"20220630","23060540",부평4동
"20220630","23060550",부평5동
"20220630","23060560",부평6동
"20220630","23060570",산곡1동
"20220630","23060580",산곡2동
"20220630","23060590",산곡3동
"20220630","23060600",산곡4동
"20220630","23060610",청천1동
"20220630","23060620",청천2동
"20220630","23060630",갈산1동
"20220630","23060640",갈산2동
"20220630","23060650",삼산1동
"20220630","23060660",부개1동
"20220630","23060670",부개2동
"20220630","23060680",부개3동
"20220630","23060690",일신동
"20220630","23060700",십정1동
"20220630","23060710",십정2동
"20220630","23060720",삼산2동
"20220630","23070510",효성1동
"20220630","23070520",효성2동
"20220630","23070530",계산1동
"20220630","23070540",계산2동
"20220630","23070550",계산3동
"20220630","23070560",작전1동
"20220630","23070570",작전2동
"20220630","23070580",작전서운동
"20220630","23070610",계양2동
"20220630","23070620",계산4동
"20220630","23070630",계양1동
"20220630","23070640",계양3동
"20220630","23080510",검암경서동
"20220630","23080530",연희동
"20220630","23080540",가정1동
"20220630","23080550",가정2동
"20220630","23080560",가정3동
"20220630","23080580",석남1동
"20220630","23080590",석남2동
"20220630","23080600",석남3동
"20220630","23080620",가좌1동
"20220630","23080630",가좌2동
"20220630","23080640",가좌3동
"20220630","23080650",가좌4동
"20220630","23080730",신현원창동
"20220630","23080740",청라1동
"20220630","23080780",청라2동
"20220630","23080790",청라3동
"20220630","23080800",검단동
"20220630","23080810",불로대곡동
"20220630","23080840",오류왕길동
"20220630","23080850",당하동
"20220630","23080860",마전동
"20220630","23080870",원당동
"20220630","23080880",아라동
"20220630","23090520",숭의2동
"20220630","23090540",숭의4동
"20220630","23090560",용현2동
"20220630","23090570",용현3동
"20220630","23090590",용현5동
"20220630","23090600",학익1동
"20220630","23090610",학익2동
"20220630","23090620",도화1동
"20220630","23090650",주안1동
"20220630","23090660",주안2동
"20220630","23090670",주안3동
"20220630","23090680",주안4동
"20220630","23090690",주안5동
"20220630","23090700",주안6동
"20220630","23090710",주안7동
"20220630","23090720",주안8동
"20220630","23090730",관교동
"20220630","23090740",문학동
"20220630","23090750",숭의1·3동
"20220630","23090760",용현1·4동
"20220630","23090770",도화2·3동
"20220630","23510110",강화읍
"20220630","23510310",선원면
"20220630","23510320",불은면
"20220630","23510330",길상면
"20220630","23510340",화도면
"20220630","23510350",양도면
"20220630","23510360",내가면
"20220630","23510370",하점면
"20220630","23510380",양사면
"20220630","23510390",송해면
"20220630","23510400",교동면
"20220630","23510410",삼산면
"20220630","23510420",서도면
"20220630","23520310",북도면
"20220630","23520320",연평면
"20220630","23520330",백령면
"20220630","23520340",대청면
"20220630","23520350",덕적면
"20220630","23520360",자월면
"20220630","23520370",영흥면
"20220630","24010510",충장동
"20220630","24010540",동명동
"20220630","24010560",계림1동
"20220630","24010580",계림2동
"20220630","24010590",산수1동
"20220630","24010610",산수2동
"20220630","24010620",지산1동
"20220630","24010630",지산2동
"20220630","24010640",서남동
"20220630","24010680",학동
"20220630","24010710",학운동
"20220630","24010720",지원1동
"20220630","24010730",지원2동
"20220630","24020510",양동
"20220630","24020530",양3동
"20220630","24020540",농성1동
"20220630","24020550",농성2동
"20220630","24020560",광천동
"20220630","24020570",유덕동
"20220630","24020580",상무1동
"20220630","24020590",상무2동
"20220630","24020600",화정1동
"20220630","24020610",화정2동
"20220630","24020620",화정3동
"20220630","24020630",화정4동
"20220630","24020640",서창동
"20220630","24020660",치평동
"20220630","24020670",풍암동
"20220630","24020680",금호1동
"20220630","24020690",금호2동
"20220630","24020700",동천동
"20220630","24030510",양림동
"20220630","24030520",방림1동
"20220630","24030530",방림2동
"20220630","24030540",사직동
"20220630","24030570",월산동
"20220630","24030600",월산4동
"20220630","24030610",월산5동
"20220630","24030620",백운1동
"20220630","24030630",백운2동
"20220630","24030640",주월1동
"20220630","24030650",주월2동
"20220630","24030670",송암동
"20220630","24030680",봉선1동
"20220630","24030690",봉선2동
"20220630","24030700",대촌동
"20220630","24030710",진월동
"20220630","24030720",효덕동
"20220630","24040510",중흥1동
"20220630","24040520",중흥2동
"20220630","24040530",중흥3동
"20220630","24040540",중앙동
"20220630","24040550",임동
"20220630","24040560",신안동
"20220630","24040570",용봉동
"20220630","24040580",운암1동
"20220630","24040590",운암2동
"20220630","24040600",운암3동
"20220630","24040610",동림동
"20220630","24040620",우산동
"20220630","24040630",풍향동
"20220630","24040640",문화동
